locus	NMEL	AAUR	APUR	Mgen	AVIR	HLIG	HQUA	HRUB	LLEU	LMAR	LFIG	LZEP	LVIE	LPAU	LOEN	LMAL	LCAL	LALB	shift
2150_2250	0.3493	0.6054	0.5864	0.5398	0.3244	0.3829	0.4	0.3698	0.4003	0.335	0.3449	0.4715	0.4818	0.3649	0.3662	0.3447	0.3256	0.3256	neither
2200_2300	0.7797	0.5743	0.5397	0.5711	0.5572	0.7276	0.7158	0.6922	0.6751	0.7077	0.7333	0.8414	0.829	0.7333	0.7117	0.6816	0.6617	0.6617	neither
2250_2350	0.8953	0.5609	0.495	0.5147	0.6702	0.6055	0.6329	0.6026	0.62	0.6975	0.6911	0.8602	0.8306	0.6987	0.6675	0.6382	0.6381	0.6382	neither
2300_2400	0.7669	0.63	0.5118	0.5418	0.6255	0.5125	0.5623	0.5321	0.5157	0.5266	0.5292	0.6605	0.6358	0.5261	0.5464	0.5263	0.5463	0.5467	neither
2350_2450	0.6727	0.643	0.4802	0.4727	0.5685	0.4806	0.4514	0.4709	0.481	0.4219	0.4608	0.5225	0.513	0.4219	0.4924	0.4614	0.4712	0.4716	neither
2400_2500	0.5919	0.5616	0.4349	0.3694	0.7607	0.7082	0.7365	0.7073	0.722	0.6735	0.7153	0.8326	0.8142	0.6751	0.7351	0.7445	0.7341	0.7343	neither
2450_2550	0.8307	0.6805	0.6402	0.5978	0.8005	0.7898	0.8182	0.7792	0.8157	0.8535	0.8648	0.9841	0.955	0.8483	0.878	0.9194	0.9095	0.9095	neither
2500_2600	0.9021	0.6737	0.6343	0.705	NA	0.6237	0.6144	0.6052	0.6663	0.7406	0.7017	0.8163	0.7879	0.6544	0.6731	0.6838	0.6996	0.6996	NA
2550_2650	0.8259	0.5674	0.5548	0.7959	NA	0.6335	0.6335	0.6428	0.6902	0.717	0.6676	0.8009	0.7956	0.6486	0.7169	0.6888	0.6891	0.6891	NA
2600_2700	0.685	0.678	0.9291	0.9202	NA	0.8929	0.9025	0.9121	0.8499	0.852	0.8513	0.979	0.9953	0.8631	0.9229	0.881	0.8712	0.8712	NA
2650_2750	0.8192	1.08	1.3866	1.2571	NA	1.1877	1.2006	1.1988	1.1623	1.1512	1.1428	NA	NA	1.2051	1.216	1.1432	1.1432	1.1533	NA
2700_2800	0.5555	1.0045	1.0715	1.1177	NA	0.9195	0.9509	0.8895	0.9823	1.0072	0.9856	1.1983	1.1983	0.9856	1.038	0.9753	0.9962	1.0064	NA
2750_2850	0.2917	0.5072	0.4784	0.4183	NA	0.465	0.5174	0.4753	0.4877	0.5416	0.5309	0.6369	0.6477	0.5099	0.5418	0.531	0.553	0.553	NA
2800_2900	0.1638	0.3384	0.3235	0.2976	0.3517	0.3111	0.3114	0.3212	0.343	0.3517	0.3517	0.3517	0.3616	0.3418	0.3616	0.3517	0.3724	0.3724	neither
2850_2950	0.1892	0.4142	0.4127	0.4097	0.344	0.3519	0.3435	0.3534	0.3492	0.3797	0.3573	0.3379	0.3476	0.3481	0.4202	0.3571	0.3884	0.3785	neither
2900_3000	0.2813	0.2662	0.307	0.3209	0.3032	0.3232	0.3358	0.3257	0.328	0.3236	0.3052	0.3325	0.362	0.3033	0.3553	0.2946	0.315	0.3049	neither
2950_3050	0.3381	0.3875	0.417	0.4201	NA	0.3591	0.3888	0.3894	0.4575	0.4384	0.449	0.4973	0.5175	0.4081	0.4181	0.4081	0.4182	0.4182	NA
3000_3100	0.3502	0.5288	0.4589	0.5228	NA	0.3122	0.343	0.3655	0.4071	0.4686	0.4539	0.4973	0.5077	0.3883	0.3881	0.3776	0.3776	0.3776	NA
3050_3150	0.2461	0.4409	0.3726	0.5148	NA	0.2312	0.2814	0.2811	0.344	0.375	0.3785	0.382	0.3917	0.3393	0.3595	0.3393	0.3701	0.3701	NA
3100_3200	0.5629	0.9644	0.8628	1.0114	NA	0.5635	0.6101	0.6078	0.6874	0.7554	0.7083	0.7322	0.7322	0.7635	0.7827	0.764	0.8589	0.8684	NA
3150_3250	0.604	0.9581	0.8084	0.9085	NA	0.6586	0.6547	0.6735	0.5889	0.6503	0.6495	0.6432	0.6528	0.6695	0.6633	0.6603	0.7761	0.7954	NA
3200_3300	0.2095	0.4416	0.3427	0.5138	NA	0.413	0.4268	0.4074	0.3533	0.3801	0.4311	0.432	0.4606	0.3899	0.3998	0.3899	0.4933	0.484	NA
3250_3350	0.224	0.4656	0.3535	0.9264	NA	0.3228	0.3036	0.3032	0.3836	0.3761	0.3761	0.4519	0.4487	0.3666	0.3762	0.3963	0.4941	0.4672	NA
3300_3392	0.2499	0.47	0.4405	0.7416	NA	0.3464	0.3981	0.3718	0.4237	0.3632	0.3319	0.3858	0.3754	0.3418	0.3418	0.3753	0.41	0.41	NA
3350_3392	0.2673	0.5374	0.5427	0.6036	NA	0.4088	0.5232	0.4981	0.5321	0.434	0.3842	0.4111	0.4111	0.4074	0.4074	0.4355	0.4074	0.4074	NA
fpocket	0.3442	0.5508	0.4823	0.6222	0.4153	0.4709	0.4887	0.4709	0.5591	0.5467	0.6244	0.5734	0.5868	0.5281	0.51	0.4919	0.51	0.51	fast
protindb	0.1937	0.5789	0.5789	0.6771	0.4675	0.3859	0.478	0.3859	0.3401	0.2894	0.2441	0.3358	0.3828	0.4223	0.334	0.3347	0.2893	0.2893	neither
